STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140101,0,-9999,217,44
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140102,0,-9999,211,50
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140103,0,-9999,217,39
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140104,0,-9999,222,61
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140105,0,-9999,217,50
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140106,0,-9999,178,44
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140107,0,-9999,172,28
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140108,0,-9999,200,33
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140109,0,-9999,200,50
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140110,0,-9999,222,83
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140111,0,-9999,222,61
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140112,0,-9999,217,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140113,0,-9999,222,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140114,0,-9999,222,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140115,0,-9999,228,72
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140116,0,-9999,233,83
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140117,0,-9999,239,56
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140118,0,-9999,239,50
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140119,0,-9999,233,56
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140120,0,-9999,239,44
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140121,0,-9999,239,61
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140122,0,-9999,239,111
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140123,0,-9999,233,61
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140124,0,-9999,200,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140125,0,-9999,217,122
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140126,0,-9999,228,67
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140127,0,-9999,233,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140128,0,-9999,244,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140129,0,-9999,261,78
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140130,0,-9999,261,122
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140131,0,-9999,233,106
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140201,0,-9999,167,72
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140202,0,-9999,161,-6
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140203,0,-9999,156,56
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140204,0,-9999,150,28
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140205,0,-9999,161,61
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140206,0,-9999,178,-6
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140207,0,-9999,189,50
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140208,0,-9999,222,72
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140209,0,-9999,267,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140210,0,-9999,267,156
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140211,0,-9999,239,100
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140212,0,-9999,261,78
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140213,0,-9999,278,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140214,0,-9999,306,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140215,0,-9999,306,100
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140216,0,-9999,300,139
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140217,0,-9999,278,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140218,0,-9999,278,133
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140219,0,-9999,283,106
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140220,0,-9999,278,111
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140221,0,-9999,233,78
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140222,0,-9999,239,67
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140223,0,-9999,261,78
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140224,0,-9999,256,83
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140225,0,-9999,261,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140226,0,-9999,261,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140227,0,-9999,261,133
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140228,58,-9999,261,161
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140301,8,-9999,189,100
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140302,0,-9999,178,56
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140303,0,-9999,206,83
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140304,0,-9999,233,106
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140305,0,-9999,256,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140306,0,-9999,289,133
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140307,0,-9999,283,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140308,0,-9999,283,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140309,0,-9999,283,111
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140310,0,-9999,278,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140311,0,-9999,278,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140312,0,-9999,200,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140313,0,-9999,228,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140314,0,-9999,267,128
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140315,0,-9999,272,156
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140316,0,-9999,278,122
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140317,0,-9999,311,122
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140318,0,-9999,294,128
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140319,0,-9999,222,67
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140320,0,-9999,256,72
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140321,0,-9999,261,111
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140322,0,-9999,267,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140323,0,-9999,267,128
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140324,0,-9999,289,133
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140325,0,-9999,300,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140326,0,-9999,300,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140327,0,-9999,217,83
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140328,0,-9999,239,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140329,0,-9999,294,100
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140330,0,-9999,294,161
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140331,0,-9999,239,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140401,0,-9999,239,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140402,0,-9999,189,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140403,0,-9999,211,72
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140404,0,-9999,233,106
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140405,0,-9999,222,89
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140406,0,-9999,256,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140407,0,-9999,289,156
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140408,0,-9999,322,122
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140409,0,-9999,333,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140410,0,-9999,344,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140411,0,-9999,344,189
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140412,0,-9999,328,133
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140413,0,-9999,306,139
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140414,0,-9999,306,150
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140415,0,-9999,306,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140416,0,-9999,328,172
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140417,0,-9999,328,167
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140418,0,-9999,294,172
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140419,0,-9999,300,178
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140420,0,-9999,328,172
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140421,0,-9999,339,172
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140422,0,-9999,333,200
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140423,0,-9999,289,133
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140424,0,-9999,294,117
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140425,0,-9999,289,144
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140426,15,-9999,272,78
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140427,0,-9999,239,94
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140428,0,-9999,267,161
GHCND:USC00049099,TWENTYNINE PALMS CA US,602,34.128,-116.0369,20140429,0,-9999,272,144
